索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_IN_MRFILE,表全名,JHPDL:JH_IN_MRFILE,,,,,,
,表说明,住院病历章节内容（文书分段章节内容）,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,IMF,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,IMF0001,String字符串（变长）,,IN_MRFILE_SN,住院病历章节编号,住院病历文书章节编号，系统生成三级编码，如“ZF0.000.000.001”,20,是,是
,\x00\x02,IMF0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,IMF0003,String字符串（变长）,,IN_MR_SN,住院病历记录编号,住院病历记录编号，来源JH_IN_MR的IMR0001,20,是,是
,\x00\x05,IMF0005,Integer整型（4个字节）,,SHOW_ORDER,显示顺序,在病历的现实顺序,20,,
,\x00\x06,IMF0006,String字符串（变长）,,CONTENT_HTML,HTML内容号,章节内容转成HTML格式后，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,200,,
,\x00\x07,IMF0007,String字符串（变长）,,CONTENT_TEXT,TEXT内容号,章节内容转成TEXT格式后，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,200,,
,\x00\x08,IMF0008,String字符串（变长）,,CONTENT_CDA,CDA内容号,章节内容转成CDA格式后，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,200,,
,\x00\x09,IMF0009,String字符串（变长）,,CONTENT_PDF,PDF内容号,章节内容转成PDF格式后，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,200,,
,\x00\x0B,IMF0011,String字符串（变长）,,PART_LINK_URL,章节访问地址,可以是病历章节文件获取的URL地址，或详细的获得串等,500,,
,\x00\x0C,IMF0012,String字符串（变长）,,PART_LINK_EXT,章节访问参数,用于从第三方获取病历章节内容的额外参数或扩展记录用,500,,
,\x00\x0E,IMF0014,String字符串（变长）,,LINK_PARA,展示处理参数,指定展示与处理（获取）第三方病历内容文件的程序需要用到的扩展参数,500,,
,\x00\x0F,IMF0015,String字符串（变长）,,PART_CONTENT_1,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x10,IMF0016,String字符串（变长）,,PART_CONTENT_2,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x11,IMF0017,String字符串（变长）,,PART_CONTENT_3,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x12,IMF0018,String字符串（变长）,,PART_CONTENT_4,内容关联号1,如果病历具体，保存到二进制的关联唯一号；这是关联的文件唯一编号，关联到表“JH_FILE_CONTENT”,20,是,是
,\x00\x13,IMF0019,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x14,IMF0020,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x15,IMF0021,简化字典（Integer整型，4个字节）,436,SD_PART_TYPE,章节类型简码,章节类型；基本信息、主诉、既往史、家族史等,20,,
,\x00\x16,IMF0022,String字符串（变长）,,ST_PART_TYPE,章节类型描述,,500,,
,\x00\x19,IMF0025,String字符串（变长）,,SC_PART_TYPE,章节类型编码,源业务系统的章节类型编码,200,,
,\x00\x17,IMF0023,简化字典（Integer整型，4个字节）,439,SD_MR_LINK_TYPE,病历内容格式,PDF、JPG等,20,,
,\x00\x1A,IMF0026,String字符串（变长）,,SC_MR_LINK_TYPE,病历内容编码,源业务系统的病历内容编码,200,,
,\x00\x1B,IMF0027,String字符串（变长）,,ST_MR_LINK_TYPE,病历内容描述,源业务系统的病历内容描述,200,,
,\x00\x18,IMF0024,简化字典（Integer整型，4个字节）,438,SD_LINK_APP,展示处理程序,指定展示与处理（获取）第三方病历内容文件的程序（与上面“病历访问地址、病历访问参数”配合使用）,20,,
,\x00\x1C,IMF0028,String字符串（变长）,,SC_LINK_APP,展示处理程序编码,源业务系统的展示处理程序编码,200,,
,\x00\x1D,IMF0029,String字符串（变长）,,ST_LINK_APP,展示处理程序描述,源业务系统的展示处理程序描述,200,,
,\x00\x1E,IMF0030,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
,\x00\x04,IMF0004,自定义字典类型，字符串（变长）,436,PART_TYPE,章节类型,章节类型；基本信息、主诉、既往史、家族史等,200,,
,\x00\x0A,IMF0010,自定义字典类型，字符串（变长）,439,PART_LINK_TYPE,章节内容格式,PDF、JPG等,200,,
,\x00\x0D,IMF0013,自定义字典类型，字符串（变长）,438,LINK_APP,展示处理程序,指定展示与处理（获取）第三方病历内容文件的程序（与上面“病历访问地址、病历访问参数”配合使用）,200,,
