索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_HOSP_INCOME_DTL,表全名,JHPDL:JH_HOSP_INCOME_DTL,,,,,,
,表说明,医院收入费用总表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,FAB,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,FAB0001,String字符串（变长）,,HOSP_INCOME_DTL_SN,医疗收入费用明细编码,医疗收入费用明细编码FE0.000.000.001,20,是,
,\x00\x02,FAB0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,,
,\x00\x03,FAB0003,String字符串（变长）,,HOSP_INCOME_SN,医院收入费用编码,医院收入费用编码,20,是,
,\x00\x04,FAB0004,String字符串（变长）,,HOSPITAL_CODE,医疗机构组织机构代码,医疗机构组织机构代码,200,,
,\x00\x05,FAB0005,String字符串（变长）,,ACCOUNT_CODE,账套编码,运营-账套编码,200,,
,\x00\x06,FAB0006,String字符串（变长）,,DATE_YEAR,统计年度,运营-统计年度格式“YYYY”,200,,
,\x00\x07,FAB0007,String字符串（变长）,,DATE_MONTH,统计月份,运营-统计月份格式“MM”,200,,
,\x00\x08,FAB0008,简化字典（Integer整型，4个字节）,,SD_FEE_ITEM,收费项目简码,收费项目简码,,,
,\x00\x09,FAB0009,String字符串（变长）,,SC_FEE_ITEM,收费项目编码,运营-收费项目编码,200,,
,\x00\x0A,FAB0010,String字符串（变长）,,ST_FEE_ITEM,收费项目名称,运营-收费项目名称,200,,
,\x00\x0B,FAB0011,Double双精度浮点型（8个字节）,,AMOUNT,运营-金额,,,,
,\x00\x0C,FAB0012,Double双精度浮点型（8个字节）,,MONTH_TOTAL,本月数,运营-本月数,,,
,\x00\x0D,FAB0013,Double双精度浮点型（8个字节）,,YEAR_TOTAL,本年累计数,运营-本年累计数,,,
,\x00\x0E,FAB0014,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,500,,
,\x00\x0F,FAB0015,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,,,
,\x00\x10,FAB0016,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
