索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_CHRONIC_EDU_TEMP,表全名,JHPDL:JH_RHHV_CHRONIC_EDU_TEMP,,,,,,
,表说明,慢病健康教育模板,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VBO,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VBO0001,String字符串（变长）,,CHRONIC_EDU_TEMP_SN,主键,,64,,
,\x00\x02,VBO0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VBO0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VBO0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VBO0005,String字符串（变长）,,SC_REGION,所属区域编码,,32,,
,\x00\x06,VBO0006,String字符串（变长）,,ST_REGION,所属区域名称,,32,,
,\x00\x07,VBO0007,String字符串（变长）,,CGCHRONIC_TYPE,慢病类型,,1,,
,\x00\x08,VBO0008,String字符串（变长）,,TITLE_INFO,标题,,128,,
,\x00\x09,VBO0009,String字符串（变长）,,CONTENT_INFO,内容,,4000,,
,\x00\x0A,VBO0010,String字符串（变长）,,AREA_YPE,区域类别,,1,,
,\x00\x0B,VBO0011,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x0C,VBO0012,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x0D,VBO0013,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x0E,VBO0014,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x0F,VBO0015,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x10,VBO0016,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x11,VBO0017,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x12,VBO0018,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x13,VBO0019,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x14,VBO0020,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x15,VBO0021,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
